rel_path,src,dst,text_nodes,attr_texts,meta_texts
gde_kupit?type[]=danojet.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=danojet.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=danojet.html,474,3,1
novosti?page=10.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=10.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=10.html,98,4,2
gde_kupit?type[]=gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=gidroflex.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=gidroflex.html,474,3,1
gde_kupit?type[]=danotop.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=danotop.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=danotop.html,474,3,1
dlya_professionalov.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/dlya_professionalov.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/dlya_professionalov.html,100,3,2
katalog.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/katalog.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/katalog.html,143,13,2
index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/index.html,135,35,1
feedback.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/feedback.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/feedback.html,131,7,2
rekomendaczii_danogips_po_rabote_s_apparatami_bezvozdushnogo_naneseniya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/rekomendaczii_danogips_po_rabote_s_apparatami_bezvozdushnogo_naneseniya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/rekomendaczii_danogips_po_rabote_s_apparatami_bezvozdushnogo_naneseniya.html,98,9,0
gde_kupit?type[]=.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=.html,474,3,1
gde_kupit?type[]=tools.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=tools.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=tools.html,474,3,1
novosti?page=6.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=6.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=6.html,155,5,2
novosti?page=7.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=7.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=7.html,123,4,2
o_nas.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/o_nas.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/o_nas.html,122,4,2
karera.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/karera.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/karera.html,128,11,2
gde_kupit?type[]=danogrunt.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=danogrunt.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=danogrunt.html,474,3,1
prospray.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/prospray.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/prospray.html,243,9,1
gde_kupit?type[]=danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=danogips.html,474,3,1
novosti?page=8.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=8.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=8.html,120,3,2
novosti?page=4.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=4.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=4.html,106,6,2
novosti?page=5.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=5.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=5.html,115,3,2
gde_kupit.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit.html,474,3,1
novosti?page=9.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=9.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=9.html,107,3,2
novosti?page=2.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=2.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=2.html,104,6,2
gde_kupit?type[]=accessories.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=accessories.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=accessories.html,474,3,1
gde_kupit?type[]=sheetrock_danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/gde_kupit?type[]=sheetrock_danogips.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/gde_kupit?type[]=sheetrock_danogips.html,474,3,1
politika_konfidenczialnosti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/politika_konfidenczialnosti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/politika_konfidenczialnosti.html,89,3,2
novosti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti.html,103,6,2
policy.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/policy.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/policy.html,115,6,2
novosti?page=3.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti?page=3.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti?page=3.html,105,6,2
top/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/top/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/top/index.html,180,6,1
GidroFlex/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/GidroFlex/index.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/GidroFlex/index.html,274,6,1
novosti/seminar_texnologii_otdelki_i_materialyi_dlya_otdelki_danogips_graco_festool.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/seminar_texnologii_otdelki_i_materialyi_dlya_otdelki_danogips_graco_festool.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/seminar_texnologii_otdelki_i_materialyi_dlya_otdelki_danogips_graco_festool.html,104,3,2
novosti/shpatlevka_danogips_top_v_vedre_novogo_obema.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/shpatlevka_danogips_top_v_vedre_novogo_obema.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/shpatlevka_danogips_top_v_vedre_novogo_obema.html,124,3,2
novosti/dano_byit_vmeste_komanda_danogips_rabotaet_v_shtatnom_rezhime.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/dano_byit_vmeste_komanda_danogips_rabotaet_v_shtatnom_rezhime.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/dano_byit_vmeste_komanda_danogips_rabotaet_v_shtatnom_rezhime.html,124,3,0
novosti/znakomyij_produkt_v_novoj_upakovke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/znakomyij_produkt_v_novoj_upakovke.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/znakomyij_produkt_v_novoj_upakovke.html,127,3,0
novosti/prakticheskij_master_klass_v_petrozavodske.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/prakticheskij_master_klass_v_petrozavodske.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/prakticheskij_master_klass_v_petrozavodske.html,122,3,2
novosti/budushhie_mastera_otdelochniki_na_zavode_danogips_v_sankt_peterburge.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/budushhie_mastera_otdelochniki_na_zavode_danogips_v_sankt_peterburge.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/budushhie_mastera_otdelochniki_na_zavode_danogips_v_sankt_peterburge.html,123,3,0
novosti/akcziya_vyiigraj_million_s_superfinish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/akcziya_vyiigraj_million_s_superfinish.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/akcziya_vyiigraj_million_s_superfinish.html,97,3,2
novosti/pervyij_v_istorii_danoprobeg.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/pervyij_v_istorii_danoprobeg.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/pervyij_v_istorii_danoprobeg.html,127,3,0
novosti/tvorcheskij_konkurs_v_ritme_tvoego_remonta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/tvorcheskij_konkurs_v_ritme_tvoego_remonta.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/tvorcheskij_konkurs_v_ritme_tvoego_remonta.html,115,3,2
novosti/den_stroitelya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/novosti/den_stroitelya.html,/Users/dilmurod/Desktop/danogips/www.danogips.ru/uz/novosti/den_stroitelya.html,124,3,2
